segment,idx,rho_kpc,inc_deg,alpha_deg,h5
seg1,147,2.1451555665564848,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0147_r002.15_i023.00_a000.00.h5
seg1,148,2.121834582482183,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0148_r002.12_i023.00_a000.00.h5
seg1,149,2.1006209517579357,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0149_r002.10_i023.00_a000.00.h5
seg1,150,2.081483145466911,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0150_r002.08_i023.00_a000.00.h5
seg1,151,2.0643947136486847,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0151_r002.06_i023.00_a000.00.h5
seg1,152,2.0493343029348203,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0152_r002.05_i023.00_a000.00.h5
seg1,153,2.036285694037996,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0153_r002.04_i023.00_a000.00.h5
seg1,154,2.0252378601236525,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0154_r002.03_i023.00_a000.00.h5
seg1,155,2.016185047232573,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0155_r002.02_i023.00_a000.00.h5
seg1,156,2.0091268780775025,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0156_r002.01_i023.00_a000.00.h5
seg1,157,2.0040684807088494,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0157_r002.00_i023.00_a000.00.h5
seg1,158,2.0010206437355955,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0158_r002.00_i023.00_a000.00.h5
seg1,159,2.0,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0159_r002.00_i023.00_a000.00.h5
seg2,0,30.0,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0000_r030.00_i023.00_a000.00.h5
seg2,1,30.0,23.125598237317668,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0001_r030.00_i023.13_a000.00.h5
seg2,2,30.0,23.493805035607913,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0002_r030.00_i023.49_a000.00.h5
seg2,3,30.0,24.09173852437663,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0003_r030.00_i024.09_a000.00.h5
seg2,4,30.0,24.906516833129693,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0004_r030.00_i024.91_a000.00.h5
seg2,5,30.0,25.925258091372978,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0005_r030.00_i025.93_a000.00.h5
seg2,6,30.0,27.135080428612376,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0006_r030.00_i027.14_a000.00.h5
seg2,7,30.0,28.523101974353754,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0007_r030.00_i028.52_a000.00.h5
seg2,8,30.0,30.076440858103005,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0008_r030.00_i030.08_a000.00.h5
seg2,9,30.0,31.782215209365997,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0009_r030.00_i031.78_a000.00.h5
seg2,10,30.0,33.627543157648624,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0010_r030.00_i033.63_a000.00.h5
seg2,11,30.0,35.599542832456756,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0011_r030.00_i035.60_a000.00.h5
seg2,12,30.0,37.68533236329628,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0012_r030.00_i037.69_a000.00.h5
seg2,13,30.0,39.87202987967308,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0013_r030.00_i039.87_a000.00.h5
seg2,14,30.0,42.14675351109301,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0014_r030.00_i042.15_a000.00.h5
seg2,15,30.0,44.49662138706199,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0015_r030.00_i044.50_a000.00.h5
seg2,16,30.0,46.90875163708588,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0016_r030.00_i046.91_a000.00.h5
seg2,17,30.0,49.370262390670554,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0017_r030.00_i049.37_a000.00.h5
seg2,18,30.0,51.868271777321894,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0018_r030.00_i051.87_a000.00.h5
seg2,19,30.0,54.3898979265458,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0019_r030.00_i054.39_a000.00.h5
seg2,20,30.0,56.92225896784814,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0020_r030.00_i056.92_a000.00.h5
seg2,21,30.0,59.45247303073478,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0021_r030.00_i059.45_a000.00.h5
seg2,22,30.0,61.96765824471162,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0022_r030.00_i061.97_a000.00.h5
seg2,23,30.0,64.45493273928454,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0023_r030.00_i064.45_a000.00.h5
seg2,24,30.0,66.90141464395943,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0024_r030.00_i066.90_a000.00.h5
seg2,25,30.0,69.29422208824211,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0025_r030.00_i069.29_a000.00.h5
seg2,26,30.0,71.62047320163855,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg2/spec_0026_r030.00_i071.62_a000.00.h5
